# tools/parity-sample.tsv — 100 random sites >1MB from /var/www-hotglue/usr (seeded draw 20260907)
# site<TAB>page<TAB>target<TAB>note (note=object count)
kairoz	dieseisttanz	kairoz-dieseisttanz	29 objects, 112 KB
kairoz	enter	kairoz-enter	12 objects, 320 KB
kairoz	exgotamento	kairoz-exgotamento	23 objects, 7532 KB
kairoz	fazinedecriticadedanca	kairoz-fazinedecriticadedanca	4 objects, 8 KB
kairoz	formacao	kairoz-formacao	7 objects, 3548 KB
kairoz	IIIfãzinedecríticadedança	kairoz-IIIfazinedecriticadedanca	2 objects, 676 KB
kairoz	IIIfãzinedecríticadedança10	kairoz-IIIfazinedecriticadedanca10	2 objects, 1456 KB
kairoz	IIIfãzinedecríticadedança11	kairoz-IIIfazinedecriticadedanca11	2 objects, 1000 KB
kairoz	IIIfãzinedecríticadedança12	kairoz-IIIfazinedecriticadedanca12	2 objects, 868 KB
kairoz	IIIfãzinedecríticadedança13	kairoz-IIIfazinedecriticadedanca13	17 objects, 248 KB
kairoz	IIIfãzinedecríticadedança2	kairoz-IIIfazinedecriticadedanca2	2 objects, 2840 KB
kairoz	IIIfãzinedecríticadedança3	kairoz-IIIfazinedecriticadedanca3	8 objects, 2168 KB
kairoz	IIIfãzinedecríticadedança4	kairoz-IIIfazinedecriticadedanca4	7 objects, 1652 KB
kairoz	IIIfãzinedecríticadedança5	kairoz-IIIfazinedecriticadedanca5	7 objects, 1856 KB
kairoz	IIIfãzinedecríticadedança6	kairoz-IIIfazinedecriticadedanca6	7 objects, 6444 KB
kairoz	IIIfãzinedecríticadedança7	kairoz-IIIfazinedecriticadedanca7	2 objects, 2856 KB
kairoz	IIIfãzinedecríticadedança8	kairoz-IIIfazinedecriticadedanca8	3 objects, 716 KB
kairoz	IIIfãzinedecríticadedança9	kairoz-IIIfazinedecriticadedanca9	2 objects, 1036 KB
kairoz	liberarforcascoreograficas	kairoz-liberarforcascoreograficas	41 objects, 11576 KB
kairoz	meusprofessoresdedanca	kairoz-meusprofessoresdedanca	29 objects, 112 KB
kairoz	Tempestعاصفة	kairoz-Tempest	8 objects, 12 KB
kairoz	video	kairoz-video	15 objects, 60 KB
kairoz	川	kairoz-x	8 objects, 2260 KB
kairoz	川filme	kairoz-filme	8 objects, 16 KB
kairoz	川novobeijo	kairoz-novobeijo	7 objects, 8 KB
kairoz	川sinopse	kairoz-sinopse	7 objects, 4 KB
kennybhamra	materialsandprocesses	kennybhamra-materialsandprocesses	5 objects, 232 KB
kennybhamra	moralethicalconsiderations	kennybhamra-moralethicalconsiderations	5 objects, 324 KB
kennybhamra	professionalpractice	kennybhamra-professionalpractice	6 objects, 284 KB
kennybhamra	sources	kennybhamra-sources	4 objects, 68 KB
kennybhamra	start	kennybhamra-start	6 objects, 280 KB
kieroncharles	start	kieroncharles-start	8 objects, 2548 KB
kruk	photo	kruk-photo	18 objects, 1112 KB
kruk	start	kruk-start	6 objects, 84 KB
kruk	video	kruk-video	9 objects, 44 KB
lali	2001: odisea en el espacio	lali-2001--odisea-en-el-espacio	26 objects, 1560 KB
lali	ANICKA YI	lali-ANICKA-YI	11 objects, 3000 KB
lali	Biomimética 3D	lali-Biomimetica-3D	9 objects, 1728 KB
lali	start	lali-start	4 objects, 552 KB
lanievredusamedisoir	start	lanievredusamedisoir-start	84 objects, 26512 KB
laramat	1m2	laramat-1m2	4 objects, 34776 KB
laramat	altres	laramat-altres	3 objects, 1576 KB
laramat	exercicisperimaginarunvolca	laramat-exercicisperimaginarunvolca	58 objects, 56728 KB
laramat	lacasa	laramat-lacasa	67 objects, 23252 KB
laramat	lapedraquecau1	laramat-lapedraquecau1	5 objects, 1588 KB
laramat	lapedraquecau2	laramat-lapedraquecau2	3 objects, 1872 KB
laramat	lapedraquecau3	laramat-lapedraquecau3	3 objects, 12944 KB
laramat	lapedraquecau4	laramat-lapedraquecau4	3 objects, 3492 KB
laramat	lapedraquecau5	laramat-lapedraquecau5	3 objects, 5520 KB
laramat	lapedraquecaudelcel	laramat-lapedraquecaudelcel	39 objects, 28008 KB
laramat	mur1	laramat-mur1	2 objects, 876 KB
laramat	mur2	laramat-mur2	8 objects, 4140 KB
laramat	pedres	laramat-pedres	46 objects, 10772 KB
laramat	pensament	laramat-pensament	57 objects, 5852 KB
laramat	procés	laramat-proces	41 objects, 12120 KB
laramat	procescasa	laramat-procescasa	37 objects, 9624 KB
laramat	procesvolca	laramat-procesvolca	47 objects, 6816 KB
laramat	raigdesol	laramat-raigdesol	60 objects, 5960 KB
laramat	riu	laramat-riu	35 objects, 22996 KB
laramat	start	laramat-start	10 objects, 48 KB
laramat	tarjetas	laramat-tarjetas	71 objects, 6308 KB
laramat	tres	laramat-tres	14 objects, 7316 KB
laramat	un	laramat-un	23 objects, 6688 KB
laramat	Una casa a l'obaga	laramat-Una-casa-a-l-obaga	15 objects, 36564 KB
lekim14	artistas	lekim14-artistas	4 objects, 16 KB
lekim14	contacto	lekim14-contacto	14 objects, 2328 KB
lekim14	fotos	lekim14-fotos	17 objects, 11820 KB
lekim14	ilustraciones	lekim14-ilustraciones	14 objects, 49880 KB
lekim14	informazioa	lekim14-informazioa	7 objects, 52 KB
lekim14	trabajos	lekim14-trabajos	12 objects, 56 KB
lekim14	videos	lekim14-videos	17 objects, 2264 KB
limohair	art nouvhoes	limohair-art-nouvhoes	40 objects, 67892 KB
limohair	commissions	limohair-commissions	29 objects, 42260 KB
limohair	copy me	limohair-copy-me	5 objects, 53408 KB
limohair	cv	limohair-cv	26 objects, 6876 KB
limohair	cv 1	limohair-cv-1	6 objects, 1616 KB
limohair	cv2	limohair-cv2	6 objects, 508 KB
limohair	dancing	limohair-dancing	14 objects, 5352 KB
limohair	dyed of natural causes RIP	limohair-dyed-of-natural-causes-RIP	12 objects, 5696 KB
limohair	fruiting bodies	limohair-fruiting-bodies	14 objects, 6604 KB
limohair	heavenly bridegrooms	limohair-heavenly-bridegrooms	9 objects, 88 KB
limohair	her hearth	limohair-her-hearth	6 objects, 20368 KB
limohair	home 3	limohair-home-3	6 objects, 3152 KB
limohair	home-copy	limohair-home-copy	6 objects, 2516 KB
limohair	in clover	limohair-in-clover	32 objects, 14328 KB
limohair	in clover text	limohair-in-clover-text	21 objects, 4704 KB
limohair	in clover walking tour	limohair-in-clover-walking-tour	19 objects, 6480 KB
limohair	limo	limohair-limo	6 objects, 508 KB
limohair	limo hair x hul le kes	limohair-limo-hair-x-hul-le-kes	18 objects, 3972 KB
limohair	limo hair x hul le kes samples	limohair-limo-hair-x-hul-le-kes-samples	26 objects, 33164 KB
limohair	lucky-limo	limohair-lucky-limo	2 objects, 964 KB
limohair	portfolio	limohair-portfolio	24 objects, 4344 KB
limohair	radio	limohair-radio	10 objects, 72 KB
limohair	salome - the pattern	limohair-salome---the-pattern	11 objects, 84 KB
limohair	seal your fate	limohair-seal-your-fate	18 objects, 1808 KB
limohair	sewn to the sky	limohair-sewn-to-the-sky	20 objects, 344452 KB
limohair	spin the wheel	limohair-spin-the-wheel	14 objects, 11420 KB
limohair	sprout	limohair-sprout	12 objects, 2076 KB
limohair	stills fates	limohair-stills-fates	23 objects, 21520 KB
limohair	summer's squares	limohair-summer-s-squares	13 objects, 6520 KB
limohair	thesis seal your fate	limohair-thesis-seal-your-fate	18 objects, 15732 KB
limohair	under construction	limohair-under-construction	4 objects, 408 KB
limohair	written in the rust, bad poetry	limohair-written-in-the-rust--bad-poetry	12 objects, 4500 KB
lineandsurface	start	lineandsurface-start	28 objects, 4496 KB
lizette	start	lizette-start	5 objects, 2804 KB
lunandart	aturdidaciudad	lunandart-aturdidaciudad	14 objects, 71384 KB
lunandart	fragilidad	lunandart-fragilidad	8 objects, 880 KB
lunandart	otredad	lunandart-otredad	4 objects, 16 KB
lunandart	perseguidaporlaciudad	lunandart-perseguidaporlaciudad	20 objects, 12144 KB
lunandart	rostrossinrostro	lunandart-rostrossinrostro	25 objects, 74944 KB
lunandart	tapeterojo	lunandart-tapeterojo	15 objects, 18808 KB
marianac	image	marianac-image	3 objects, 14588 KB
marianac	sound	marianac-sound	6 objects, 20 KB
marianac	start	marianac-start	5 objects, 20 KB
mariateresagarcia	María Teresa García - c'est moi	mariateresagarcia-Maria-Teresa-Garcia---c-est-moi	19 objects, 5896 KB
mariateresagarcia	María Teresa García - desarrollo&guion	mariateresagarcia-Maria-Teresa-Garcia---desarrollo-guion	19 objects, 4872 KB
mariateresagarcia	María Teresa García - mis proyectos :)	mariateresagarcia-Maria-Teresa-Garcia---mis-proyectos	43 objects, 5344 KB
mariateresagarcia	María Teresa García - universo_visual	mariateresagarcia-Maria-Teresa-Garcia---universo_visual	11 objects, 15284 KB
martinamoran	alphabet	martinamoran-alphabet	5 objects, 12432 KB
martinamoran	bookofmatches	martinamoran-bookofmatches	6 objects, 17176 KB
martinamoran	bookofmatches2	martinamoran-bookofmatches2	4 objects, 21664 KB
martinamoran	lgbtposters	martinamoran-lgbtposters	5 objects, 9548 KB
martinamoran	start	martinamoran-start	21 objects, 42080 KB
martinamoran	thisiswhatabodylookslike	martinamoran-thisiswhatabodylookslike	9 objects, 18636 KB
martinamoran	typeface	martinamoran-typeface	9 objects, 1772 KB
masters	ABOUT	masters-ABOUT	6 objects, 2536 KB
